icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
407a38,NPT902,United Kingdom,2023-03-09 06:21:46,2023-03-09 06:21:46,-1.2155,52.1205,4884.42,False,132.75,181.11,0.0,,4678.68,1252,False,0
acdfb1,SIL3967,United States,2023-03-09 06:21:46,2023-03-09 06:21:46,-98.9386,33.3855,6103.62,False,132.89,345.43,0.0,,6301.74,,False,0
ac4963,DAL955,United States,2023-03-09 06:21:46,2023-03-09 06:21:46,-121.0855,37.9951,7223.76,False,259.9,82.61,6.5,,7231.38,3276,False,0
aae316,AAL2343,United States,2023-03-09 06:21:46,2023-03-09 06:21:46,-114.2095,35.8862,4899.66,False,137.31,11.02,-7.15,,4960.62,,False,0
acdfa3,ASA1078,United States,2023-03-09 06:21:46,2023-03-09 06:21:46,-123.1822,46.7512,8389.62,False,209.43,175.77,7.48,,8008.62,,False,0
3945e8,,France,2023-03-09 06:17:43,2023-03-09 06:17:43,8.6358,42.6634,2011.68,False,91.33,304.67,11.05,,2019.3,,False,0
851914,JAL3114,Japan,2023-03-09 06:21:45,2023-03-09 06:21:45,138.9053,38.2125,12192.0,False,201.0,201.31,0.0,,12115.8,,False,0
a0e250,AAL2984,United States,2023-03-09 06:21:45,2023-03-09 06:21:46,-122.0749,47.3297,3329.94,False,153.24,303.64,-0.33,,3215.64,,False,0
a1025a,UPS9306,United States,2023-03-09 06:21:42,2023-03-09 06:21:42,-69.3876,21.6545,10363.2,False,202.55,308.3,0.65,,10843.26,,False,0
407a06,EZY62EB,United Kingdom,2023-03-09 06:21:38,2023-03-09 06:21:43,-2.2762,53.3604,,True,0.0,5.62,,,,,False,0
8a02d2,AWQ226,Indonesia,2023-03-09 06:21:45,2023-03-09 06:21:46,101.5944,3.0119,10256.52,False,231.68,305.42,-2.6,,10934.7,2353,False,0
4acb01,NOZ1YE,Sweden,2023-03-09 06:21:46,2023-03-09 06:21:46,11.0629,60.1075,861.06,False,73.44,39.6,-4.55,,685.8,0467,False,0
4acb04,NOZ1190,Sweden,2023-03-09 06:21:46,2023-03-09 06:21:46,11.9362,60.3053,6797.04,False,209.64,85.07,14.96,,6164.58,5001,False,0
ab034d,AAL281,United States,2023-03-09 06:21:33,2023-03-09 06:21:33,132.5318,36.0313,12192.0,False,209.11,262.51,0.0,,12169.14,3673,False,0
3442cb,ANE90AP,Spain,2023-03-09 06:21:45,2023-03-09 06:21:46,1.8693,39.0948,2270.76,False,119.61,234.81,-4.55,,2354.58,,False,0
471efa,WZZ100B,Hungary,2023-03-09 06:21:39,2023-03-09 06:21:39,10.0648,41.4557,10675.62,False,188.64,249.74,0.0,,10812.78,7346,False,0
471efb,WZZ1717,Hungary,2023-03-09 06:21:45,2023-03-09 06:21:46,14.7982,49.4569,10980.42,False,204.55,295.79,0.0,,10690.86,1733,False,0
471efe,WZZ26YU,Hungary,2023-03-09 06:21:46,2023-03-09 06:21:46,13.8779,51.3418,10896.6,False,193.68,279.79,2.28,,10530.84,1000,False,0
e80279,LPE2364,Chile,2023-03-09 05:53:31,2023-03-09 06:18:18,-76.9408,-12.9254,6065.52,False,234.46,163.95,0.0,,,,False,0
e80274,LPE2435,Chile,2023-03-09 06:16:15,2023-03-09 06:21:46,-76.8865,-12.9301,5814.06,False,218.38,164.98,4.88,,,,False,0
7c1bee,VOZ9391,Australia,2023-03-09 06:21:46,2023-03-09 06:21:46,116.3875,-31.9516,4267.2,False,181.95,46.6,9.75,,4389.12,7245,False,0
ac1042,SWA400,United States,2023-03-09 06:17:04,2023-03-09 06:17:24,-111.9998,33.4328,,True,6.69,90.0,,,,,False,0
3442c2,ANE8481,Spain,2023-03-09 06:21:46,2023-03-09 06:21:46,3.4241,39.6689,2743.2,False,114.92,256.27,0.65,,2834.64,,False,0
867fce,JAL44,Japan,2023-03-09 06:21:14,2023-03-09 06:21:14,132.293,36.1322,11277.6,False,278.21,106.32,0.33,,,,False,0
e80211,LPE2690,Chile,2023-03-09 06:21:46,2023-03-09 06:21:46,-77.6543,-11.4502,6027.42,False,227.22,321.99,8.78,,,,False,0
4bb5d6,MNB226,Turkey,2023-03-09 06:21:46,2023-03-09 06:21:46,23.0306,43.4591,10668.0,False,275.41,117.24,0.0,,10683.24,7664,False,0
86cfa0,ANA742,Japan,2023-03-09 06:21:46,2023-03-09 06:21:46,139.8483,35.9328,1783.08,False,102.39,244.08,-0.65,,1889.76,,False,0
e8020d,LAN532,Chile,2023-03-09 06:21:46,2023-03-09 06:21:46,-78.6341,-9.8602,11582.4,False,249.33,344.93,0.0,,,,False,0
3c5ee6,EWG4FX,Germany,2023-03-09 06:21:46,2023-03-09 06:21:46,17.0686,48.132,9403.08,False,241.67,105.81,-5.2,,9212.58,6431,False,0
e8021c,LCO1406,Chile,2023-03-09 06:20:47,2023-03-09 06:20:51,-113.1844,30.9743,11582.4,False,217.65,308.96,0.0,,11833.86,,False,0
3c5ee5,EWG2CK,Germany,2023-03-09 06:21:45,2023-03-09 06:21:46,14.0611,51.1478,11132.82,False,235.83,138.63,-4.88,,10774.68,7602,False,0
3c5ee3,EWG30C,Germany,2023-03-09 06:21:45,2023-03-09 06:21:46,8.2357,48.7569,10652.76,False,206.71,200.24,0.33,,10401.3,1000,False,0
3c5ee1,GWI8FZ,Germany,2023-03-09 06:21:45,2023-03-09 06:21:46,10.2377,49.1435,7612.38,False,230.27,131.74,0.0,,7421.88,1250,False,0
3c5ef9,EWG3HX,Germany,2023-03-09 06:21:46,2023-03-09 06:21:46,6.6874,51.3052,1348.74,False,107.52,0.27,8.78,,1203.96,0637,False,0
3c5ef6,EWG4UB,Germany,2023-03-09 06:21:39,2023-03-09 06:21:43,6.7856,51.2951,,True,4.63,357.19,,,,,False,0
3c5eec,DLH9TK,Germany,2023-03-09 06:14:46,2023-03-09 06:18:58,8.5623,50.0439,,True,0.0,160.31,,,,1000,False,0
3c5eeb,GWI2002,Germany,2023-03-09 06:21:44,2023-03-09 06:21:44,13.4847,52.3493,,True,34.47,67.5,,,,1000,False,0
3c5eea,DLH4MX,Germany,2023-03-09 06:21:45,2023-03-09 06:21:46,9.3786,49.9339,2743.2,False,135.29,339.29,0.0,,2606.04,1255,False,0
e80244,LPE2480,Chile,2023-03-09 06:21:39,2023-03-09 06:21:39,-78.1283,-6.585,10363.2,False,235.68,355.99,0.0,,11056.62,,False,0
a5d28e,UAL2197,United States,2023-03-09 06:21:46,2023-03-09 06:21:46,-109.868,38.0356,10972.8,False,197.16,314.79,-0.33,,10965.18,,False,0
3c5ef5,EWG3AR,Germany,2023-03-09 06:21:40,2023-03-09 06:21:45,6.7857,51.2937,,True,5.14,0.0,,,,,False,0
440219,EJU69WJ,Austria,2023-03-09 06:21:46,2023-03-09 06:21:46,5.9622,48.1473,11277.6,False,256.86,110.39,-0.33,,11064.24,7604,False,0
7c2ec1,JIR,Australia,,2023-03-09 06:21:43,,,,False,48.07,5.53,1.95,,,,False,0
a5823e,GTI8675,United States,2023-03-09 06:21:46,2023-03-09 06:21:46,139.0725,37.7844,11277.6,False,199.76,247.6,0.0,,11201.4,,False,0
44020a,AUA42D,Austria,2023-03-09 06:21:46,2023-03-09 06:21:46,2.3949,49.0589,2011.68,False,143.57,10.95,16.91,,1920.24,1000,False,0
a7bba1,FDX1802,United States,2023-03-09 06:21:45,2023-03-09 06:21:45,-122.223,37.7124,,True,8.23,39.38,,,,5464,False,0
46b823,AEE926,Greece,2023-03-09 06:21:46,2023-03-09 06:21:46,29.0587,35.2317,10675.62,False,257.63,121.28,0.0,,10744.2,7433,False,0
851958,JAL667,Japan,2023-03-09 06:21:45,2023-03-09 06:21:46,137.0065,35.2325,11582.4,False,184.25,257.75,0.0,,11635.74,2320,False,0
44022d,AUA2TU,Austria,2023-03-09 06:20:41,2023-03-09 06:20:41,13.4982,52.3675,,True,6.94,247.5,,,,,False,0
44022b,AUA5M,Austria,2023-03-09 06:21:46,2023-03-09 06:21:46,8.7716,47.4422,1417.32,False,64.71,276.39,-3.9,,1386.84,1000,False,0
8014a3,IGO6568,India,2023-03-09 06:21:45,2023-03-09 06:21:46,84.9245,23.2198,10668.0,False,254.02,111.63,0.0,,11049.0,5406,False,0
7c1c50,HT740,Australia,2023-03-09 06:21:46,2023-03-09 06:21:46,115.9433,-31.9991,967.74,False,64.31,194.06,,,,7250,False,0
885222,THA324,Thailand,2023-03-09 06:21:46,2023-03-09 06:21:46,76.9662,28.5945,1295.4,False,137.0,284.35,16.58,,1325.88,,False,0
343194,VLG1XD,Spain,2023-03-09 06:21:42,2023-03-09 06:21:45,2.0792,41.294,,True,0.0,244.69,,,,,False,0
8014b2,IGO871,India,2023-03-09 06:21:45,2023-03-09 06:21:45,77.169,27.0443,8846.82,False,196.71,357.45,-4.88,,9090.66,,False,0
885224,THA413,Thailand,2023-03-09 06:16:49,2023-03-09 06:16:49,103.2222,3.302,11506.2,False,238.79,147.85,-8.13,,12260.58,,False,0
ac34a0,FDX17,United States,2023-03-09 06:21:46,2023-03-09 06:21:46,-150.0944,61.104,1790.7,False,131.78,267.99,-6.83,,1836.42,6662,False,0
8014b3,IGO076,India,2023-03-09 06:21:45,2023-03-09 06:21:45,100.3781,13.9428,5105.4,False,209.11,299.15,8.78,,5379.72,,False,0
a26a4f,ATN3298,United States,2023-03-09 06:21:45,2023-03-09 06:21:46,-86.8682,37.1008,10980.42,False,201.16,224.9,0.0,,11186.16,6734,False,0
7cf9e5,TANG10,Australia,2023-03-09 06:21:45,2023-03-09 06:21:46,115.8295,-31.4716,259.08,False,83.85,255.79,-0.33,,236.22,7332,False,0
8014ad,IGO1641,India,2023-03-09 06:21:45,2023-03-09 06:21:46,84.3523,22.694,11887.2,False,267.89,74.18,0.0,,12313.92,6332,False,0
393322,AFR36JR,France,2023-03-09 06:21:46,2023-03-09 06:21:46,2.4378,48.734,373.38,False,65.79,254.12,-2.93,,266.7,1000,False,0
a2ba24,JLG275,United States,2023-03-09 06:21:45,2023-03-09 06:21:45,-122.385,37.6275,,True,4.12,222.19,,,,1013,False,0
a64d4d,JBU1220,United States,2023-03-09 06:21:46,2023-03-09 06:21:46,-74.6818,38.4979,10660.38,False,230.16,36.64,0.0,,10614.66,7454,False,0
a02a6d,N11FX,United States,2023-03-09 06:21:46,2023-03-09 06:21:46,15.448,47.0586,586.74,False,28.76,349.7,-2.6,,502.92,,False,0
7cf9d2,BLKT66,Australia,2023-03-09 06:21:46,2023-03-09 06:21:46,138.6137,-34.7162,,True,10.29,188.44,,,,,False,0
e07585,ARG1247,Argentina,2023-03-09 06:20:22,2023-03-09 06:20:22,-55.7771,-32.3272,10972.8,False,205.67,227.13,-3.9,,11483.34,,False,0
